ID,Customer_ID,Customer_Name,Segment
1,AA10315,Alex Avila,Consumer
2,AA10375,Allen Armold,Consumer
3,AA10480,Andrew Allen,Consumer
4,AA10645,Anna Andreadi,Consumer
5,AB10015,Aaron Bergman,Consumer
6,AB10060,Adam Bellavance,Home Office
7,AB10105,Adrian Barton,Consumer
8,AB10150,Aimee Bixby,Consumer
9,AB10165,Alan Barnes,Consumer
10,AB10255,Alejandro Ballentine,Home Office
11,AB10600,Ann Blume,Corporate
12,AC10420,Alyssa Crouse,Corporate
13,AC10450,Amy Cox,Consumer
14,AC10615,Ann Chong,Corporate
15,AC10660,Anna Chung,Consumer
16,AD10180,Alan Dominguez,Home Office
17,AF10870,Art Ferguson,Consumer
18,AF10885,Art Foster,Consumer
19,AG10270,Alejandro Grove,Consumer
20,AG10300,Aleksandra Gannaway,Corporate
21,AG10330,Alex Grayson,Consumer
22,AG10390,Allen Goldenen,Consumer
23,AG10495,Andrew Gjertsen,Corporate
24,AG10525,Andy Gerbode,Corporate
25,AG10675,Anna Gayman,Consumer
26,AG10765,Anthony Garverick,Home Office
27,AG10900,Arthur Gainer,Consumer
28,AH10030,Aaron Hawkins,Corporate
29,AH10075,Adam Hart,Corporate
30,AH10120,Adrian Hane,Home Office
31,AH10195,Alan Haines,Corporate
32,AH10210,Alan Hwang,Consumer
33,AH10465,Amy Hunt,Consumer
34,AH10585,Angele Hood,Consumer
35,AH10690,Anna Häberlin,Corporate
36,AI10855,Arianne Irving,Consumer
37,AJ10780,Anthony Jacobs,Corporate
38,AJ10795,Anthony Johnson,Corporate
39,AJ10945,Ashley Jarboe,Consumer
40,AJ10960,Astrea Jones,Consumer
41,AM10360,Alice McCarthy,Corporate
42,AM10705,Anne McFarland,Consumer
43,AO10810,Anthony O'Donnell,Corporate
44,AP10720,Anne Pryor,Home Office
45,AP10915,Arthur Prichep,Consumer
46,AR10345,Alex Russell,Corporate
47,AR10405,Allen Rosenblatt,Corporate
48,AR10510,Andrew Roberts,Consumer
49,AR10540,Andy Reiter,Consumer
50,AR10570,Anemone Ratner,Consumer
51,AR10825,Anthony Rawles,Corporate
52,AS10045,Aaron Smayling,Corporate
53,AS10090,Adam Shillingsburg,Consumer
54,AS10135,Adrian Shami,Home Office
55,AS10225,Alan Schoenberger,Corporate
56,AS10240,Alan Shonely,Consumer
57,AS10285,Alejandro Savely,Corporate
58,AS10630,Ann Steele,Home Office
59,AT10435,Alyssa Tate,Home Office
60,AT10735,Annie Thurman,Consumer
61,AW10840,Anthony Witt,Consumer
62,AW10930,Arthur Wiediger,Home Office
63,AY10555,Andy Yotov,Corporate
64,AZ10750,Annie Zypern,Consumer
65,BB10990,Barry Blumstein,Corporate
66,BB11545,Brenda Bowman,Corporate
67,BC11125,Becky Castell,Home Office
68,BD11320,Bill Donatelli,Consumer
69,BD11500,Bradley Drucker,Consumer
70,BD11560,Brendan Dodson,Home Office
71,BD11605,Brian Dahlen,Consumer
72,BD11620,Brian DeCherney,Consumer
73,BD11635,Brian Derr,Consumer
74,BD11725,Bruce Degenhardt,Consumer
75,BD11770,Bryan Davis,Consumer
76,BE11335,Bill Eplett,Home Office
77,BE11410,Bobby Elias,Consumer
78,BE11455,Brad Eason,Home Office
79,BF10975,Barbara Fisher,Corporate
80,BF11005,Barry Franz,Home Office
81,BF11020,Barry Französisch,Corporate
82,BF11080,Bart Folk,Consumer
83,BF11170,Ben Ferrer,Home Office
84,BF11215,Benjamin Farhat,Home Office
85,BF11275,Beth Fritzler,Corporate
86,BG11035,Barry Gonzalez,Consumer
87,BG11695,Brooke Gillingham,Corporate
88,BG11740,Bruce Geld,Consumer
89,BH11710,Brosina Hoffman,Consumer
90,BK11260,Berenike Kampe,Consumer
91,BM11140,Becky Martin,Consumer
92,BM11575,Brendan Murry,Corporate
93,BM11650,Brian Moss,Corporate
94,BM11785,Bryan Mills,Consumer
95,BN11470,Brad Norvell,Corporate
96,BN11515,Bradley Nguyen,Consumer
97,BO11350,Bill Overfelt,Corporate
98,BO11425,Bobby Odegard,Consumer
99,BP11050,Barry Pond,Corporate
100,BP11095,Bart Pistole,Corporate
101,BP11155,Becky Pak,Consumer
102,BP11185,Ben Peterman,Corporate
103,BP11230,Benjamin Patterson,Consumer
104,BP11290,Beth Paige,Consumer
105,BS11365,Bill Shonely,Corporate
106,BS11380,Bill Stewart,Corporate
107,BS11590,Brendan Sweed,Corporate
108,BS11665,Brian Stugart,Consumer
109,BS11755,Bruce Stewart,Consumer
110,BS11800,Bryan Spruell,Home Office
111,BT11305,Beth Thompson,Home Office
112,BT11395,Bill Tyler,Corporate
113,BT11440,Bobby Trafton,Consumer
114,BT11485,Brad Thomas,Home Office
115,BT11530,Bradley Talbott,Home Office
116,BT11680,Brian Thompson,Consumer
117,BV11245,Benjamin Venier,Corporate
118,BW11065,Barry Weirich,Consumer
119,BW11110,Bart Watters,Corporate
120,BW11200,Ben Wallace,Consumer
121,CA11965,Carol Adams,Corporate
122,CA12055,Cathy Armstrong,Home Office
123,CA12265,Christina Anderson,Consumer
124,CA12310,Christine Abelman,Corporate
125,CA12775,Cynthia Arntzen,Consumer
126,CB12025,Cassandra Brandow,Consumer
127,CB12415,Christy Brittain,Consumer
128,CB12535,Claudia Bergmann,Corporate
129,CC12100,Chad Cunningham,Home Office
130,CC12145,Charles Crestani,Consumer
131,CC12220,Chris Cortes,Consumer
132,CC12370,Christopher Conant,Consumer
133,CC12430,Chuck Clark,Home Office
134,CC12475,Cindy Chapman,Consumer
135,CC12550,Clay Cheatham,Consumer
136,CC12610,Corey Catlett,Corporate
137,CC12670,Craig Carreira,Consumer
138,CC12685,Craig Carroll,Consumer
139,CD11920,Carlos Daly,Consumer
140,CD11980,Carol Darley,Consumer
141,CD12280,Christina DeMoss,Consumer
142,CD12790,Cynthia Delaney,Home Office
143,CG12040,Catherine Glotzbach,Home Office
144,CG12520,Claire Gute,Consumer
145,CH12070,Cathy Hwang,Home Office
146,CJ11875,Carl Jackson,Corporate
147,CJ12010,Caroline Jumper,Consumer
148,CK12205,Chloris Kastensmidt,Consumer
149,CK12325,Christine Kargatis,Home Office
150,CK12595,Clytie Kelty,Consumer
151,CK12760,Cyma Kinney,Corporate
152,CL11890,Carl Ludwig,Consumer
153,CL12565,Clay Ludtke,Consumer
154,CL12700,Craig Leslie,Home Office
155,CM11815,Candace McMahon,Corporate
156,CM11935,Carlos Meador,Consumer
157,CM12115,Chad McGuire,Consumer
158,CM12160,Charles McCrossin,Consumer
159,CM12190,Charlotte Melton,Consumer
160,CM12235,Chris McAfee,Consumer
161,CM12385,Christopher Martinez,Consumer
162,CM12445,Chuck Magee,Consumer
163,CM12655,Corinna Mitchell,Home Office
164,CM12715,Craig Molinari,Corporate
165,Co12640,Corey-Lock,Consumer
166,CP12085,Cathy Prescott,Corporate
167,CP12340,Christine Phan,Corporate
168,CR12580,Clay Rozendal,Home Office
169,CR12625,Corey Roper,Home Office
170,CR12730,Craig Reiter,Consumer
171,CR12820,Cyra Reiten,Home Office
172,CS11845,Cari Sayre,Corporate
173,CS11860,Cari Schnelling,Consumer
174,CS11950,Carlos Soltero,Consumer
175,CS12130,Chad Sievert,Consumer
176,CS12175,Charles Sheldon,Corporate
177,CS12250,Chris Selesnick,Corporate
178,CS12355,Christine Sundaresam,Consumer
179,CS12400,Christopher Schild,Home Office
180,CS12460,Chuck Sachs,Consumer
181,CS12490,Cindy Schnelling,Corporate
182,CS12505,Cindy Stewart,Consumer
183,CT11995,Carol Triggs,Consumer
184,CV12295,Christina VanderZanden,Consumer
185,CV12805,Cynthia Voltz,Corporate
186,CW11905,Carl Weiss,Home Office
187,CY12745,Craig Yedwab,Corporate
188,DA13450,Dianna Arnett,Home Office
189,DB12910,Daniel Byrd,Home Office
190,DB12970,Darren Budd,Corporate
191,DB13060,Dave Brooks,Consumer
192,DB13120,David Bremer,Corporate
193,DB13210,Dean Braden,Consumer
194,DB13270,Deborah Brumfield,Home Office
195,DB13360,Dennis Bolton,Home Office
196,DB13405,Denny Blanton,Consumer
